City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.08,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Vila Velha,BR,75.15,light rain,-20.3297,-40.2925,Hotel Vitória Palace
12,Kandrian,PG,88.68,broken clouds,-6.2167,149.55,Kandrian Station
13,Port Shepstone,ZA,75.54,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
16,Arraial Do Cabo,BR,75.38,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
20,Esperance,AU,79.16,clear sky,-33.8667,121.9,Hospitality Esperance
23,Kapaa,US,76.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Cidreira,BR,75.7,broken clouds,-30.1811,-50.2056,Hotel Castelo
38,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
48,Bubaque,GW,77.11,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
49,Hervey Bay,AU,88.03,light rain,-25.2986,152.8535,Shelly Bay Resort
50,Vao,NC,75.15,light rain,-22.6667,167.4833,Hotel Kou-Bugny
54,Mahibadhoo,MV,81.09,few clouds,3.7833,72.9667,Omadhoo Inn
55,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Anloga,GH,79.02,light rain,5.7947,0.8973,Pin Drop Hotel
68,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Butaritari,KI,81.9,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Faanui,PF,81.28,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
92,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
94,Aden,YE,76.6,clear sky,12.7794,45.0367,Sama Emirate Hotel
96,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
105,Atuona,PF,79.0,clear sky,-9.8,-139.0333,Villa Enata
116,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
123,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
135,Tamandare,BR,78.53,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
136,Itarema,BR,78.13,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
137,Le Vauclin,MQ,76.84,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
144,Bac Lieu,VN,84.83,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
147,Mananara,MG,75.74,overcast clouds,-16.1667,49.7667,Chez Roger
149,Kavieng,PG,83.52,broken clouds,-2.5744,150.7967,Nusa Island Retreat
157,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
160,Nelson Bay,AU,76.95,few clouds,-32.7167,152.15,Mantra Nelson Bay
163,Barabai,ID,83.73,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
171,Kiama,AU,75.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
173,Gizo,SB,81.79,overcast clouds,-8.103,156.8419,Imagination Island
181,Kahului,US,79.86,clear sky,20.8947,-156.47,Maui Seaside Hotel
197,Ho Chi Minh City,VN,86.02,few clouds,10.75,106.6667,Windsor Plaza Hotel
200,Sibolga,ID,82.33,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
203,Imbituba,BR,78.69,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
208,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
220,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
222,Lorengau,PG,84.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
227,Harper,LR,77.77,light rain,4.375,-7.7169,Screensaver
233,Dingle,PH,80.76,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
234,Oistins,BB,75.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
237,San Pedro,PH,88.32,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
240,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Timotel Hotel
242,Guanica,PR,75.2,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
254,Banda Aceh,ID,83.46,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
257,Matara,LK,78.44,clear sky,5.9485,80.5353,Amaloh Boutique Resort
258,Manaul,PH,82.47,overcast clouds,12.453,121.4107,Falogme Bamboo House near at Buktot Beach
274,Bentong,MY,85.44,light rain,3.5181,101.9079,Tras Mutiara Hotel Bentong
291,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
302,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
305,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
308,Inhambane,MZ,77.11,clear sky,-23.865,35.3833,Oceano
311,Luwuk,ID,88.97,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
