City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,40.24,31,0,1.01,clear sky
1,Codrington,AU,-38.2667,141.9667,67.28,59,77,14.92,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,78.08,74,100,18.41,overcast clouds
3,Albany,US,42.6001,-73.9662,38.19,91,100,1.99,snow
4,Vila Velha,BR,-20.3297,-40.2925,75.15,95,40,6.91,light rain
5,Batagay-Alyta,RU,67.8006,130.4114,-16.46,97,99,3.04,overcast clouds
6,Hobart,AU,-42.8794,147.3294,74.12,47,20,1.99,few clouds
7,Bluff,NZ,-46.6,168.3333,52.81,84,100,3.29,light rain
8,Nikolskoye,RU,59.7035,30.7861,-0.09,100,100,2.77,overcast clouds
9,Shimoda,JP,34.6667,138.95,46.76,64,100,1.74,overcast clouds
10,Olden,NO,61.8364,6.8064,40.12,95,100,10.31,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,62.28,72,0,4.0,clear sky
12,Kandrian,PG,-6.2167,149.55,88.68,59,75,17.74,broken clouds
13,Port Shepstone,ZA,-30.7414,30.455,75.54,85,100,16.13,light rain
14,Panzhihua,CN,26.5851,101.7128,55.06,53,4,0.49,clear sky
15,Chengde,CN,40.9725,117.9361,15.62,31,0,13.15,clear sky
16,Arraial Do Cabo,BR,-22.9661,-42.0278,75.38,91,100,9.24,overcast clouds
17,Patnos,TR,39.2336,42.8634,17.11,94,98,2.26,overcast clouds
18,Evensk,RU,61.95,159.2333,16.99,44,39,24.47,scattered clouds
19,Qaanaaq,GL,77.484,-69.3632,-13.45,56,99,8.46,overcast clouds
20,Esperance,AU,-33.8667,121.9,79.16,46,2,9.04,clear sky
21,Egvekinot,RU,66.3167,-179.1667,-7.19,74,1,18.01,clear sky
22,Severo-Kurilsk,RU,50.6789,156.125,31.12,90,100,10.83,light snow
23,Kapaa,US,22.0752,-159.319,76.12,66,0,1.01,clear sky
24,Husavik,IS,66.0449,-17.3389,22.91,90,100,13.65,snow
25,Mataura,NZ,-46.1927,168.8643,52.48,99,100,2.84,light rain
26,Clyde River,CA,70.4692,-68.5914,-7.37,84,100,33.38,heavy snow
27,Vaini,TO,-21.2,-175.2,86.16,79,75,10.36,broken clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,70.09,94,100,0.0,fog
29,Cidreira,BR,-30.1811,-50.2056,75.7,89,84,22.15,broken clouds
30,Lata,PT,40.1629,-8.3327,48.07,96,99,0.54,overcast clouds
31,Mto Wa Mbu,TZ,-3.35,35.85,68.65,77,100,4.0,overcast clouds
32,Stephenville,US,32.2207,-98.2023,18.25,86,100,0.0,overcast clouds
33,Castro,BR,-24.7911,-50.0119,64.47,98,100,5.01,overcast clouds
34,Ponta Do Sol,PT,32.6667,-17.1,67.01,67,25,4.09,scattered clouds
35,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,18.92,clear sky
36,Lillebonne,FR,49.5203,0.5362,47.48,77,100,12.57,overcast clouds
37,Sao Filipe,CV,14.8961,-24.4956,72.52,77,0,8.75,clear sky
38,Bambous Virieux,MU,-20.3428,57.7575,80.85,94,75,20.71,light rain
39,Antofagasta,CL,-23.65,-70.4,65.48,79,6,4.43,clear sky
40,Busselton,AU,-33.65,115.3333,99.05,33,57,15.95,broken clouds
41,Punta Arenas,CL,-53.15,-70.9167,42.91,61,75,10.36,broken clouds
42,Guerrero Negro,MX,27.9769,-114.0611,59.18,30,0,15.28,clear sky
43,Ushuaia,AR,-54.8,-68.3,42.46,70,75,18.41,broken clouds
44,East London,ZA,-33.0153,27.9116,67.14,82,0,10.36,clear sky
45,Port Alfred,ZA,-33.5906,26.891,69.89,74,97,15.95,overcast clouds
46,Hilo,US,19.7297,-155.09,74.93,80,100,9.22,overcast clouds
47,Dikson,RU,73.5069,80.5464,-7.19,94,100,5.55,overcast clouds
48,Bubaque,GW,11.2833,-15.8333,77.11,71,0,7.07,clear sky
49,Hervey Bay,AU,-25.2986,152.8535,88.03,64,84,24.18,light rain
50,Vao,NC,-22.6667,167.4833,75.15,92,100,5.59,light rain
51,Bojnurd,IR,37.4747,57.329,30.15,80,0,2.3,clear sky
52,Cherskiy,RU,68.75,161.3,-28.86,99,16,3.36,few clouds
53,Kruisfontein,ZA,-34.0033,24.7314,64.89,75,74,9.53,broken clouds
54,Mahibadhoo,MV,3.7833,72.9667,81.09,70,16,7.25,few clouds
55,Saint-Philippe,RE,-21.3585,55.7679,80.15,92,100,32.41,moderate rain
56,Anloga,GH,5.7947,0.8973,79.02,81,0,6.02,light rain
57,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,8.05,light snow
58,Dzhebariki-Khaya,RU,62.2167,135.8,-24.14,95,90,1.88,overcast clouds
59,Tessalit,ML,20.1986,1.0114,55.69,18,0,11.63,clear sky
60,Wucheng,CN,29.6008,118.175,39.51,90,100,2.37,overcast clouds
61,Haysville,US,37.5645,-97.3523,19.8,62,100,8.01,overcast clouds
62,Mudgee,AU,-32.5943,149.5871,72.79,46,40,17.27,scattered clouds
63,Yellowknife,CA,62.456,-114.3525,-28.44,75,0,5.75,clear sky
64,Chokurdakh,RU,70.6333,147.9167,-27.18,100,67,0.94,broken clouds
65,Yar-Sale,RU,66.8333,70.8333,-2.74,98,99,5.08,overcast clouds
66,Shiloh,US,38.5614,-89.8973,19.38,86,100,10.36,overcast clouds
67,Lebu,CL,-37.6167,-73.65,59.52,92,13,13.76,few clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,7,4.0,clear sky
69,Khatanga,RU,71.9667,102.5,-32.01,100,90,4.41,overcast clouds
70,Sambava,MG,-14.2667,50.1667,74.93,88,100,5.41,overcast clouds
71,Butaritari,KI,3.0707,172.7902,81.9,76,17,14.52,light rain
72,Ancud,CL,-41.8697,-73.8203,60.22,96,37,3.09,scattered clouds
73,Oranjemund,NA,-28.55,16.4333,63.43,82,3,21.85,clear sky
74,Karaidel,RU,55.8337,56.9069,29.61,94,100,10.02,light snow
75,Gebre Guracha,ET,9.8,38.4,51.55,44,68,3.49,broken clouds
76,Margate,GB,51.3813,1.3862,49.96,84,100,20.8,overcast clouds
77,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,61,100,13.8,overcast clouds
78,Coahuayana,MX,18.7333,-103.6833,67.69,79,12,2.8,few clouds
79,Faanui,PF,-16.4833,-151.75,81.28,70,1,15.12,clear sky
80,Las Animas,CL,-39.8087,-73.2182,59.14,96,18,1.81,few clouds
81,Gornopravdinsk,RU,60.05,69.9,23.5,95,100,8.57,overcast clouds
82,Hasaki,JP,35.7333,140.8333,48.29,57,100,8.55,overcast clouds
83,Ridgecrest,US,35.6225,-117.6709,45.43,26,20,3.44,few clouds
84,Makakilo City,US,21.3469,-158.0858,79.12,45,0,9.22,clear sky
85,Fairbanks,US,64.8378,-147.7164,0.48,53,0,8.05,clear sky
86,Kiunga,PG,-6.1219,141.2906,94.1,44,18,3.49,few clouds
