City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2022-02-04 03:49:07,14.8961,-24.4956,72.36,76,0,7.74
1,Sechelt,CA,2022-02-04 03:49:07,49.4664,-123.7694,44.55,97,100,4.05
2,Port Alfred,ZA,2022-02-04 03:48:02,-33.5906,26.891,69.84,75,98,15.48
3,Kapaa,US,2022-02-04 03:48:27,22.0752,-159.319,75.52,67,0,1.99
4,Torbay,CA,2022-02-04 03:48:50,47.6666,-52.7314,38.75,90,100,24.16
5,Narimanov,RU,2022-02-04 03:49:08,46.6927,47.8498,33.71,88,100,5.91
6,Dikson,RU,2022-02-04 03:48:31,73.5069,80.5464,-8.03,95,100,4.81
7,Pevek,RU,2022-02-04 03:49:08,69.7008,170.3133,-20.11,100,26,2.93
8,Punta Arenas,CL,2022-02-04 03:44:53,-53.15,-70.9167,42.91,61,75,10.36
9,Maceio,BR,2022-02-04 03:48:30,-9.6658,-35.7353,76.44,88,20,2.3
10,Tuktoyaktuk,CA,2022-02-04 03:49:09,69.4541,-133.0374,-23.8,76,75,8.05
11,Araouane,ML,2022-02-04 03:49:10,18.9048,-3.5265,61.72,13,0,10.92
12,Namatanai,PG,2022-02-04 03:49:10,-3.6667,152.4333,84.43,69,76,10.2
13,Mill Valley,US,2022-02-04 03:49:10,37.906,-122.545,54.27,77,54,1.99
14,Khatanga,RU,2022-02-04 03:46:21,71.9667,102.5,-31.99,100,90,4.36
15,Qaanaaq,GL,2022-02-04 03:48:43,77.484,-69.3632,-12.75,55,99,8.59
16,Hermanus,ZA,2022-02-04 03:49:11,-34.4187,19.2345,60.91,72,93,9.89
17,Sorong,ID,2022-02-04 03:45:49,-0.8833,131.25,84.42,71,51,9.8
18,Makakilo City,US,2022-02-04 03:49:11,21.3469,-158.0858,79.12,47,0,9.22
19,Nalut,LY,2022-02-04 03:49:12,30.3333,10.85,42.62,74,0,7.81
20,Nikolskoye,RU,2022-02-04 03:46:13,59.7035,30.7861,-0.09,100,100,2.84
21,Bilibino,RU,2022-02-04 03:47:16,68.0546,166.4372,-5.73,69,0,4.43
22,Jamestown,US,2022-02-04 03:47:40,42.097,-79.2353,22.08,69,100,5.01
23,Mahebourg,MU,2022-02-04 03:47:37,-20.4081,57.7,81.25,94,75,20.71
24,Tasiilaq,GL,2022-02-04 03:47:28,65.6145,-37.6368,12.36,58,83,5.75
25,Haines Junction,CA,2022-02-04 03:49:13,60.7522,-137.5108,-2.25,78,100,1.14
26,Ushuaia,AR,2022-02-04 03:45:44,-54.8,-68.3,42.46,70,75,18.41
27,Taoudenni,ML,2022-02-04 03:48:34,22.6783,-3.9836,60.64,21,27,8.97
28,Clyde River,CA,2022-02-04 03:49:13,70.4692,-68.5914,-7.37,84,100,34.52
29,Mount Gambier,AU,2022-02-04 03:46:55,-37.8333,140.7667,73.31,38,75,6.91
30,East London,ZA,2022-02-04 03:47:44,-33.0153,27.9116,67.14,82,0,10.36
31,Lompoc,US,2022-02-04 03:47:32,34.6391,-120.4579,53.92,80,0,0.0
32,Verkhovazhye,RU,2022-02-04 03:49:14,60.7472,42.0465,-10.64,100,100,2.3
33,Mogadishu,SO,2022-02-04 03:49:14,2.0371,45.3438,75.07,88,20,10.36
34,Ourossogui,SN,2022-02-04 03:49:15,15.6064,-13.3211,68.0,32,0,2.3
35,Tecoanapa,MX,2022-02-04 03:49:15,16.5167,-98.75,74.07,72,0,4.29
36,Bluff,NZ,2022-02-04 03:46:54,-46.6,168.3333,52.81,84,100,5.46
37,Klaksvik,FO,2022-02-04 03:49:16,62.2266,-6.589,36.52,77,97,50.06
38,Nome,US,2022-02-04 03:48:44,64.5011,-165.4064,6.87,51,0,29.93
39,Saskylakh,RU,2022-02-04 03:47:29,71.9167,114.0833,-14.08,98,100,2.1
40,Mar Del Plata,AR,2022-02-04 03:47:08,-38.0023,-57.5575,69.1,94,95,0.0
41,Bubaque,GW,2022-02-04 03:49:16,11.2833,-15.8333,77.02,71,0,8.81
42,Jurm,AF,2022-02-04 03:49:17,36.8648,70.8342,19.09,55,0,7.52
43,Butaritari,KI,2022-02-04 03:49:17,3.0707,172.7902,81.79,77,17,15.19
44,Bredasdorp,ZA,2022-02-04 03:48:43,-34.5322,20.0403,58.32,77,100,3.44
45,Muddebihal,IN,2022-02-04 03:49:19,16.3333,76.1333,71.94,35,22,10.18
46,Biloela,AU,2022-02-04 03:49:19,-24.4167,150.5,87.94,41,86,13.56
47,Hay River,CA,2022-02-04 03:46:31,60.8156,-115.7999,-25.64,75,20,5.75
48,Avarua,CK,2022-02-04 03:49:20,-21.2078,-159.775,82.45,78,20,19.57
49,Magalia,US,2022-02-04 03:49:20,39.8121,-121.5783,50.16,66,6,8.59
50,Cape Town,ZA,2022-02-04 03:49:20,-33.9258,18.4232,61.88,72,0,3.0
51,Uarini,BR,2022-02-04 03:49:21,-2.99,-65.1083,72.07,98,55,0.38
52,Ust-Koksa,RU,2022-02-04 03:49:21,50.2696,85.6108,1.45,90,69,0.89
53,Hilo,US,2022-02-04 03:46:03,19.7297,-155.09,74.93,81,100,9.22
